Interface        input_bps(min)       input_bps(max)       input_bps(avg)       output_bps(min)      output_bps(max)      output_bps(avg)
IC-0:fte-0/1/6   0.00                 0.00                 0.00                 0.00                 0.00                 0.00                
IC-0:fte-0/1/4   0.00                 0.00                 0.00                 0.00                 0.00                 0.00                
IC-0:fte-0/1/0   0.00                 4344.00              218.26               0.00                 2216.00              229.00              
IC-0:fte-0/1/2   0.00                 3824.00              224.35               0.00                 2504.00              226.95              
n00:fte-0/1/2    0.00                 2376.00              227.19               0.00                 2976.00              218.36              
n00:fte-0/1/0    0.00                 2496.00              227.55               0.00                 3440.00              215.25              
n01:fte-0/1/2    0.00                 1976.00              226.44               0.00                 3968.00              217.42              
n01:fte-0/1/0    0.00                 2216.00              222.15               0.00                 4112.00              213.63              
IC-1:fte-0/1/0   0.00                 3328.00              220.28               0.00                 1592.00              229.48              
IC-1:fte-0/1/2   0.00                 3872.00              217.95               0.00                 2096.00              234.41              
r01:fte-0/1/2    0.00                 3240.00              236.76               0.00                 1504.00              219.02              
IC-1:fte-0/1/6   0.00                 0.00                 0.00                 0.00                 0.00                 0.00                
IC-1:fte-0/1/4   0.00                 1888.00              217.02               0.00                 3528.00              231.14              
